session_id,variant,dataset,round,client_id,train_loss,num_examples,training_time_s,active_classes,cpu_percent,ram_used_mb,cpu_temp_c
baseline_20260624_184127,baseline,UCIHAR,6,1,0.0356392165645957,684,35.5,6,90.2,1018.1,67.2
baseline_20260624_184127,baseline,UCIHAR,6,2,0.03984753475524485,666,35.72,6,89.6,1019.2,69.1
baseline_20260624_184127,baseline,UCIHAR,6,3,0.026484093353660268,738,39.42,6,90.5,987.6,65.7
baseline_20260624_184127,baseline,UCIHAR,6,4,0.040065706275137405,936,49.99,6,91.0,1007.3,71.6
baseline_20260624_184127,baseline,UCIHAR,6,5,0.04052704750210978,1038,59.2,6,90.8,986.7,71.1
baseline_20260624_184127,baseline,UCIHAR,6,6,0.029678278477289356,864,47.93,6,90.5,994.8,67.2
baseline_20260624_184127,baseline,UCIHAR,6,7,0.027287545076643046,894,47.61,6,91.3,984.1,69.6
baseline_20260624_184127,baseline,UCIHAR,6,8,0.04169155916731272,954,51.59,6,91.0,958.3,68.7
baseline_20260624_184127,baseline,UCIHAR,6,9,0.03340020657588656,834,46.06,6,91.4,959.8,66.2
baseline_20260624_184127,baseline,UCIHAR,7,0,0.04711719884194041,1254,174.63,6,93.4,1016.5,56.0
baseline_20260624_184127,baseline,UCIHAR,7,1,0.04640866387635469,684,35.59,6,89.7,1012.1,66.7
baseline_20260624_184127,baseline,UCIHAR,7,2,0.03496152614243329,666,35.56,6,90.1,1015.5,69.1
baseline_20260624_184127,baseline,UCIHAR,7,3,0.03636754266071049,738,39.41,6,90.2,959.7,67.2
baseline_20260624_184127,baseline,UCIHAR,7,4,0.03498213245932545,936,49.7,6,91.8,1005.9,73.0
baseline_20260624_184127,baseline,UCIHAR,7,5,0.041810630362306256,1038,58.65,6,91.9,979.7,71.1
baseline_20260624_184127,baseline,UCIHAR,7,6,0.03028580782791743,864,47.7,6,91.2,992.0,68.2
baseline_20260624_184127,baseline,UCIHAR,7,7,0.04431502893567085,894,47.44,6,91.0,983.2,69.6
baseline_20260624_184127,baseline,UCIHAR,7,8,0.03353793699560421,954,51.52,6,91.5,965.6,69.6
baseline_20260624_184127,baseline,UCIHAR,7,9,0.026698675212593607,834,46.4,6,90.4,964.4,65.7
baseline_20260624_184127,baseline,UCIHAR,8,0,0.0365642111650423,1254,172.91,6,94.0,1013.6,56.0
baseline_20260624_184127,baseline,UCIHAR,8,1,0.03589699845761061,684,35.43,6,90.2,1012.6,67.2
baseline_20260624_184127,baseline,UCIHAR,8,2,0.03442013396415859,666,35.46,6,90.1,1016.7,68.2
baseline_20260624_184127,baseline,UCIHAR,8,3,0.03841872818090699,738,40.51,6,90.3,958.6,67.2
baseline_20260624_184127,baseline,UCIHAR,8,4,0.04149035384346332,936,49.94,6,91.4,1010.5,73.5
baseline_20260624_184127,baseline,UCIHAR,8,5,0.02591157415008638,1038,58.55,6,92.0,989.9,71.6
baseline_20260624_184127,baseline,UCIHAR,8,6,0.03422786005271169,864,47.26,6,90.1,995.3,67.2
baseline_20260624_184127,baseline,UCIHAR,8,7,0.026149546029046178,894,47.72,6,91.4,990.7,69.1
baseline_20260624_184127,baseline,UCIHAR,8,8,0.04648670155022826,954,50.91,6,91.4,965.0,69.6
baseline_20260624_184127,baseline,UCIHAR,8,9,0.03162712111281088,834,46.32,6,91.3,963.7,67.2
baseline_20260624_184127,baseline,UCIHAR,9,0,0.02857491385044628,1254,174.5,6,93.3,1000.2,56.0
baseline_20260624_184127,baseline,UCIHAR,9,1,0.041143938340246676,684,35.58,6,90.2,1014.0,68.2
