session_id,variant,dataset,round,accuracy,loss,f1_macro,f1_weighted,precision_macro,recall_macro,specificity_macro,auc_macro,num_samples,num_classes,blockchain_blocks,round_wall_time_s,model_payload_bytes,ipfs_model_cid,ipfs_metrics_cid,ipfs_local_cid,ipfs_vote_cid,timestamp,f1_class_0,f1_class_1,f1_class_2,f1_class_3,f1_class_4,f1_class_5
baseline_20260624_184127,baseline,UCIHAR,10,0.9209365456396336,0.27265230661376993,0.9208281629755423,0.9211230044532747,0.9230364359499754,0.9215589947684314,0.9842032594040774,0.9886479464606951,2947,6,4088,69.44,3420320,QmTJ7T3aQSqkjrKV7XgQ3iwxi4imJtJkhZQARaKBPX6DkS,QmY61gY272VReL1GqhzQMmz93XhMi1A8uyf2p6Xyc3Qcyr,QmYAFoxcAbYZCRHG34uooJqDMZu6mRTkMS3rJPw8QAxvHZ,QmWvdCN5vjRZ16YsoPCQFNFpXx1WASQUAWgkQxFCwJD7HS,2026-06-24T19:32:14.181815,0.9699481865284975,0.9484083424807903,0.9187986651835373,0.8306709265175719,0.8571428571428571,1.0
baseline_20260624_202221,baseline,UCIHAR,0,0.2317611129962674,1.7898320314732004,0.11406825709925937,0.11458926703444199,0.08381175341287588,0.23118279569892475,0.8462967540559351,0.6260394021386883,2947,6,4120,1782314556.14,3420320,Qma9BUyws2pXF51EA21YsAaqmoeXABga1BR7gvwePj7Qi2,QmbEgfEjSt2Sm7TPRwdsmBzjdqAaZb7jHZqW8Cd8qNSzye,,,2026-06-24T20:22:36.138589,0.32989690721649484,0.0,0.0,0.35451263537906136,0.0,0.0
baseline_20260624_202221,baseline,UCIHAR,1,0.7319307770614184,0.959066463911787,0.733046686372074,0.7333586453542511,0.794924542886024,0.72966669329797,0.9461796395562434,0.9758784569173437,2947,6,4123,70.78,3420320,QmXtR2yGKW4jk2FkCR4mtkBPBWSD3cMipVLvQ5hSKKNBCL,QmdWfJi6ovGvgtuVyKFaL2sMmy22D3ttsTkTNwCa39PFiE,QmeNX9ztJ35w4cYGpfSLa1Ef2yCyq1ejHsEpnrNkTCreCt,QmRLEbVeVgdvT21nBtPT8AeX42aW4gL8f8WurAyRa9VteX,2026-06-24T20:27:33.049536,0.5828571428571429,0.8488888888888889,0.7458064516129033,0.6645817044566067,0.5829145728643216,0.9732313575525813
baseline_20260624_202221,baseline,UCIHAR,2,0.9032914828639295,0.38267150624318325,0.9039893199287082,0.9033099990888619,0.907657558222327,0.9049388461744599,0.9806310211513783,0.9856938514596837,2947,6,4126,75.04,3420320,QmbMqRC71i51ysYemrFpPD8tRXfTKWh4WHe7J8vcBnmWyJ,QmVi33wHd2pVZU5KmMDJXtFPrfJ5qVPK328mmvaFH1Xubc,QmRAZ77Cog2TFTbkZEAhPenzHtvk2sHFhtjeWiRPpBDbXV,QmR5N94g6qFQCjjdXQerWKp63FCctuZgZaAz8KjhYJDDZf,2026-06-24T20:32:32.279416,0.9413020277481323,0.9393305439330544,0.9357384441939121,0.7891891891891892,0.8451443569553806,0.9732313575525813
baseline_20260624_202221,baseline,UCIHAR,3,0.9222938581608415,0.2931160988246507,0.9229876301490667,0.9222794260852151,0.9247185693565961,0.9237356048101405,0.984427618863109,0.9892314706443295,2947,6,4129,74.92,3420320,Qme8ASZMgy6q7G3v6ypqSi4JGa7Jn1fHTWpyVWGHQ4EQFr,Qme44dkDQ8KYMKP6jqX2qLijzS53kYDxjxwKYYvhmfmiDE,Qmcm4KQku7RQAstuDivMsjDvDBMBnn19w1tJGim9MhJ1X3,QmdjDMvXkMsu7i4awaQb2pMMJ6HJTxEwMguiqxEnQ8SRmD,2026-06-24T20:37:32.744460,0.9698857736240913,0.9728555917480999,0.9448818897637795,0.8081023454157783,0.842200180342651,1.0
baseline_20260624_202221,baseline,UCIHAR,4,0.9236511706820495,0.26096202968124377,0.9243871901658424,0.9236803830755919,0.9252713694692388,0.9252923934788098,0.9847111320146533,0.990330048187579,2947,6,4132,96.29,3420320,QmWzuVy9wJi6Jzor7YN3sHuj3cDXZfbrFbvK3Z36Ur2fA3,QmaZAbh7ytT7xcfaRUUPN4BUkrRgTqmH2FcBHQtFEscKAt,QmUAETr9KDeyFYV5ftkjF8pJrqG49hg3kC6jHgpfZCddPK,QmZBy3YzhLrzdHfNcEVTcuXBNTNUcf43Bo77nqBH8UXptt,2026-06-24T20:42:57.887964,0.9730848861283644,0.9718004338394793,0.9448818897637795,0.8151260504201681,0.8414298808432631,1.0
baseline_20260624_202221,baseline,UCIHAR,5,0.9222938581608415,0.25769620789016817,0.9229169300494958,0.9222211547013441,0.9242942301783966,0.9237749922446326,0.9844313464183537,0.9909049673091858,2947,6,4135,73.79,3420320,Qmef85ahnfQVHUomPRWTt42tBESzXenk536VDKFp3ACRf5,QmPZpeydxsPQMDhGQwSxLn9563qypcZSgEh65L8ZPJ34Go,QmYB2VpZLwU5JP5H4nbNLkdu5gTjwDvYDPVZTSM9aUi18S,QmRswYTt8goN8FNAqqT2eAGobADu1BWWcw4ZtwbmNZjdNM,2026-06-24T20:48:07.963810,0.9710743801652892,0.9695652173913043,0.9448818897637795,0.8106382978723404,0.8413417951042611,1.0
baseline_20260624_202221,baseline,UCIHAR,6,0.9267051238547676,0.2446752508032195,0.9271236757370728,0.9266671462099366,0.9287344526625665,0.9279640607448383,0.985324403995178,0.9905955632850502,2947,6,4138,72.4,3420320,QmSWPueWvQWTWK82JhxQkkAPeKeDp7nGRfWUC7WwUJckde,QmbYFKyEgVP6cX4dHMgtdGhSBSFUv5nJ51w2c6Z89GRkXg,QmXsNzqFoxr4gqgPDCiqhEEBmDUFUgkY1SYKdwtfB48vpJ,QmaBkXriL5ChFRLcLwDNXeHrTWqY2NKhXJnqw5hMf3tDGk,2026-06-24T20:53:04.217294,0.9720785935884177,0.9684439608269858,0.9427609427609428,0.8251599147121536,0.8542986425339366,1.0
baseline_20260624_202221,baseline,UCIHAR,7,0.9246691550729556,0.2398444132760484,0.9251832347670962,0.9246409264752892,0.9263024026645796,0.926064131439004,0.9849170314526234,0.9914531774165116,2947,6,4141,68.29,3420320,QmQSq66kfjTUm3DVdpXfHt3qRNFnjh8svcnLLgzJEMTFiz,QmfCuWX1uTHRpHXoHjqn5EoDHbtGWvszj528tRPT7yTKdd,QmWfLSp2rnMJXi7utcfMsiyXvvzuM5uAU3AhY9sEPKnYbu,QmZvGcuQp659FWztYQiaQfCuvNEqvw53wGNFWLma1iF6P5,2026-06-24T20:57:56.726926,0.9731404958677686,0.9685124864277959,0.9426321709786277,0.819047619047619,0.8477666362807658,1.0
baseline_20260624_202221,baseline,UCIHAR,8,0.9256871394638616,0.24186932244040865,0.9261530296548098,0.9255929045479566,0.9277095714644142,0.926925500748224,0.9851113678038148,0.990595625451132,2947,6,4144,69.76,3420320,Qmdv5MDq1huUCZSkT9TG1Yugdqyud3CcBWATe3EKzMHF6s,QmTFpvWTNgE4FHotA8pua7QgmSikRUFU7BMXcu7JZE7NgM,Qmcm7BALBHLv8bXWFp8a7EdQsjSPpPPbyc3mkSnWE7xRGT,QmVjF765EPHJ69otjQ4wZcbtFcVu2hCF4HKUbc5Svi91dU,2026-06-24T21:02:52.421080,0.9711340206185567,0.9695652173913043,0.9447576099210823,0.8205128205128205,0.8509485094850948,1.0
