session_id,variant,dataset,round,client_id,eval_loss,eval_acc,eval_f1,eval_auc,num_examples,eval_time_seconds,cpu_percent,ram_used_mb,cpu_temp_c,timestamp
baseline_20260626_123903,baseline,UCIHAR,1,0,0.8568528155063061,0.7407533084492705,0.7339183322493991,0.9812821930649701,2947.0,12.79720401763916,94.0,906.6,55.0,2026-06-26T12:44:00.946773
baseline_20260626_123903,baseline,UCIHAR,1,1,0.8568528155063061,0.7407533084492705,0.7339183322493991,0.9812821930649701,2947.0,6.181945323944092,92.2,915.5,60.9,2026-06-26T12:44:00.946777
baseline_20260626_123903,baseline,UCIHAR,1,2,0.8568528155063061,0.7407533084492705,0.7339183322493991,0.9812821930649701,2947.0,6.194735527038574,92.4,930.0,61.3,2026-06-26T12:44:00.946778
baseline_20260626_123903,baseline,UCIHAR,1,3,0.8568528155063061,0.7407533084492705,0.7339183322493991,0.9812821930649701,2947.0,6.562510251998901,92.4,847.5,59.9,2026-06-26T12:44:00.946779
baseline_20260626_123903,baseline,UCIHAR,1,4,0.8568528155063061,0.7407533084492705,0.7339183322493991,0.9812821930649701,2947.0,6.174558639526367,92.3,913.9,64.8,2026-06-26T12:44:00.946780
baseline_20260626_123903,baseline,UCIHAR,1,5,0.8568528155063061,0.7407533084492705,0.7339183322493991,0.9812821930649701,2947.0,6.5272955894470215,92.1,866.7,61.8,2026-06-26T12:44:00.946781
baseline_20260626_123903,baseline,UCIHAR,1,6,0.8568528155063061,0.7407533084492705,0.7339183322493991,0.9812821930649701,2947.0,6.580511569976807,92.2,874.6,60.4,2026-06-26T12:44:00.946782
baseline_20260626_123903,baseline,UCIHAR,1,7,0.8568528155063061,0.7407533084492705,0.7339183322493991,0.9812821930649701,2947.0,6.565896034240723,92.3,871.4,60.9,2026-06-26T12:44:00.946786
baseline_20260626_123903,baseline,UCIHAR,1,8,0.8568528155063061,0.7407533084492705,0.7339183322493991,0.9812821930649701,2947.0,6.5508129596710205,92.2,859.5,60.9,2026-06-26T12:44:00.946787
baseline_20260626_123903,baseline,UCIHAR,1,9,0.8568528155063061,0.7407533084492705,0.7339183322493991,0.9812821930649701,2947.0,6.181781768798828,92.2,811.6,58.9,2026-06-26T12:44:00.946788
baseline_20260626_123903,baseline,UCIHAR,2,0,0.3824592078936861,0.8870037326094333,0.8892538729559076,0.9886670389568278,2947.0,12.709333419799805,94.0,912.0,56.0,2026-06-26T12:49:04.064446
baseline_20260626_123903,baseline,UCIHAR,2,1,0.3824592078936861,0.8870037326094333,0.8892538729559076,0.9886670389568278,2947.0,6.265091419219971,92.1,915.1,60.4,2026-06-26T12:49:04.064450
baseline_20260626_123903,baseline,UCIHAR,2,2,0.3824592078936861,0.8870037326094333,0.8892538729559076,0.9886670389568278,2947.0,6.24782919883728,92.3,922.9,63.3,2026-06-26T12:49:04.064451
baseline_20260626_123903,baseline,UCIHAR,2,3,0.3824592078936861,0.8870037326094333,0.8892538729559076,0.9886670389568278,2947.0,6.60345983505249,92.3,871.4,60.4,2026-06-26T12:49:04.064452
baseline_20260626_123903,baseline,UCIHAR,2,4,0.3824592078936861,0.8870037326094333,0.8892538729559076,0.9886670389568278,2947.0,6.210385322570801,92.3,918.0,65.2,2026-06-26T12:49:04.064453
